cleaned_spacy_two,sentiment_label_values
  scientificresearch transmission dynamic sars cov british columbia large school district second covid science health medical study research covid sarscov,0
beat life go healthy heart don let cardiovascular disease ruin life stay happy healthy happy world heart day detail contact doctor laparoscopicsurgery covid medicine health,1
  disaster disaster underinvestment public health system obstruct response covid monkeypox walensky say healthcare,-1
covid infection increase likelihood dementia diagnosis nearly people old year contract infection read covid dementia health baywoodhomecare,0
shoot fall qanda answer covid flushot health safetyfirst bewell,0
warning issue covid vaccine mrna find breast milk news usnews canada usa cdc fda covid covid healthcare health covidvaccine covidbooster vaccinemandate hospitalization vaccinesideeffect,0
individual ve covid experience increase mentalhealth distress ohsu long covid program resource help,0
study show covid pandemic negatively impact uk student learning development usa canada australia newzealand politic government cdnpoli covidsk covid healthcare health covidvaccine covidbooster school education,0
ssdi benefit possible qualify criterion murky disabilityinsurance longcovid covid,0
  point soon write twitter thread compare quebec seven day covid mortality rate million population country january public health institute inspq stop publish chart,0
  scientificresearch health behaviour change uk adult pandemic finding covid cancer attit covid science health medical study research covid sarscov,-1
  americans worried mentalhealth covid new survey year rate mental health health concern put americans list learn result,0
need covid resource city phoenix cover connect home testing kit kn mask mobile testing van vaccine event health information speed late information,0
fauci admit lockdown negative consequence article george william fauci health covid,0
  scientificresearch herpesviridae lung reactivation infection patient severe covid influenza virus pn covid science health medical study research covid sarscov,0
